pano,ons_const_id,constituency_name,Con_Margin,intermediate_step,Incumbency_Status,country,region,constituency_type,winner_15,con_15,lab_15,ld_15,snp_15,pc_15,ukip_15,green_15,other_15,majority_15,turnout_15,con_vote_15,lab_vote_15,ld_vote_15,snp_vote_15,pc_vote_15,ukip_vote_15,green_vote_15,bnp_vote_15,total_vote_15,rejected_vote_15,electorate_15,seat_change_1015,con_1015,lab_1015,ld_1015,snp_1015,pc_1015,ukip_1015,green_1015,winner_10,con_10,lab_10,ld_10,snp_10,pc_10,ukip_10,green_10,bnp_10,majority_10,turn_10,con_vote_10,lab_vote_10,ld_vote_10,snp_vote_10,pc_vote_10,ukip_vote_10,green_vote_10,bnp_vote_10,total_vote_10,electorate_10,con_ppc_,con_ppc_sex,con_ppc_race,lab_ppc_,lab_ppc_sex,lab_ppc_race,ld_ppc_,ld_ppc_sex,ld_ppc_race,ukip_ppc_,ukip_ppc_sex,ukip_ppc_race,snp_ppc_,snp_ppc_sex,snp_ppc_race,pc_ppc_,pc_ppc_sex,pc_ppc_race,green_ppc_,green_ppc_sex,green_ppc_race,con_long_spend_percent,con_short_spend_percent,lab_long_spend_percent,lab_short_spend_percent,ldlong_spend_percent,ldshort_spend_percent,snplong_spend_percent,snpshort_spend_percent,pclong_spend_percent,pcshort_spend_percent,ukiplong_spend_percent,ukipshort_spend_percent,green_long_spend_percent,green_short_spend_percent
98,E14000598,"Brighton, Pavilion",-7.65,1,-1,England,South East,Borough,Green,22.76684469,27.2587607,2.789157949,NA,NA,4.982076231,41.83005341,0.373107031,14.57129271,71.41868151,12448,14904,1525,NA,NA,2724,22871,NA,54676,186,76557,NA,-0.913155315,-1.651239301,-11.02084205,NA,NA,3.152076231,10.50005341,Green,23.68,28.91,13.81,NA,NA,1.83,31.33,NA,2.4,70,12275,14986,7159,NA,NA,948,16238,NA,51834,74009,"Mitchell, Clarence Eden",Man,White,"Sen, Purna",Woman,BME,"Bowers, Chris",Man,White,"Carter, Nigel David",Man,White,NA,NA,NA,NA,NA,NA,"Lucas, Caroline",Woman,White,15.54,85.33,29.4,80.61,0,5.57,NA,NA,NA,NA,0.07,12.53,81.94,97.16
99,E14000599,Bristol East,-8.27,1,-1,England,South West,Borough,Labour,30.65803995,39.27033519,5.818709021,NA,NA,15.47616472,8.28121957,0.49553156,8.612295242,64.9122807,14168,18148,2689,NA,NA,7152,3827,NA,46213,162,71193,NA,2.338039945,2.680335187,-18.60129098,NA,NA,12.12616472,6.50121957,Labour,28.32,36.59,24.42,NA,NA,3.35,1.78,4.35,8.3,64.8,12749,16471,10993,NA,NA,1510,803,1960,45017,69448,"Clarke, Theodora",Woman,White,"McCarthy, Kerry Gillian",Woman,White,"Malik, Abdul Raoof",Man,BME,"McMurray, James Robert",Man,White,NA,NA,NA,NA,NA,NA,"Francis, Lorraine",Woman,BME,10.06,45.95,2.46,46.27,7.56,28.62,NA,NA,NA,NA,4.85,24.07,0,5.73
100,E14000600,Bristol North West,6.5,1,1,England,South West,Borough,Conservative,43.94749542,34.40401506,6.20403436,NA,NA,9.437313001,5.698291671,0.308850497,9.543480359,69.31083847,22767,17823,3214,NA,NA,4889,2952,NA,51805,121,74743,NA,5.977495416,8.464015056,-25.26596564,NA,NA,7.107313001,4.678291671,Conservative,37.97,25.94,31.47,NA,NA,2.33,1.02,NA,6.5,68.5,19115,13059,15841,NA,NA,1175,511,NA,50336,73469,"Leslie, Charlotte",Woman,White,"Jones, Darren",Man,White,"Campion-Smith, Clare",Woman,White,"Frost, Michael",Man,White,NA,NA,NA,NA,NA,NA,"Quinell, Justin Michael",Man,NA,66.74,88.86,54.23,97.42,6.35,27.33,NA,NA,NA,NA,0,0,2.3,6.15
101,E14000601,Bristol South,-15.53,0,0,England,South West,Borough,Labour,24.34404626,38.36395106,8.685732269,NA,NA,16.48440266,11.52787066,0.593997089,14.0199048,62.38588397,12377,19505,4416,NA,NA,8381,5861,NA,50842,164,81496,NA,1.424046261,-0.086048936,-19.97426773,NA,NA,13.87440266,9.017870658,Labour,22.92,38.45,28.66,NA,NA,2.61,2.51,3.59,9.8,61.6,11086,18600,13866,NA,NA,1264,1216,1739,48377,78579,"Grant, Isobel",Woman,White,"Smyth, Karin",Woman,White,"Wright, Mark Michael",Man,White,"Wood, Steve",Man,White,NA,NA,NA,NA,NA,NA,"Dyer, Tony",Man,White,4.8,24.65,19.4,57.74,3.33,12.92,NA,NA,NA,NA,0,13,5,10.14
102,E14000602,Bristol West,-29.68,1,-1,England,South West,Borough,Labour,15.18577346,35.65978386,18.84674079,NA,NA,3.020959855,26.82581208,0.460929957,8.833971784,70.38668946,9752,22900,12103,NA,NA,1940,17227,NA,64218,198,91236,Labour gain from Liberal Democrat,-3.184226541,8.149783861,-29.20325921,NA,NA,1.840959855,23.04581208,Liberal Democrat,18.37,27.51,48.05,NA,NA,1.18,3.78,NA,20.5,66.9,10169,15227,26593,NA,NA,655,2090,NA,55347,82728,"Hiscott, Claire Michelle",Woman,White,"Debbonaire, Thangam",Woman,BME,"Williams, Stephen",Man,White,"Turner, Paul",Man,White,NA,NA,NA,NA,NA,NA,"Hall, Darren Edward",Man,White,11.17,32.97,70.1,93.99,52.71,96.36,NA,NA,NA,NA,0.42,7.47,81.84,92.91
103,E14000603,Broadland,13.84,1,1,England,East of England,County,Conservative,50.49633634,18.77978489,9.753432915,NA,NA,16.7285125,4.241933357,NA,31.71655145,72.17886665,26808,9970,5178,NA,NA,8881,2252,NA,53089,182,73552,NA,4.296336341,4.94978489,-22.60656709,NA,NA,12.2085125,2.811933357,Conservative,46.2,13.83,32.36,NA,NA,4.52,1.43,1.65,13.8,72,24338,7287,17046,NA,NA,2382,752,871,52676,72445,"Simpson, Keith Robert",Man,White,"Jones, Christopher Nicholas",Man,White,"Riley, Steve",Man,White,"Agnew, Stuart",Man,White,NA,NA,NA,NA,NA,NA,"Boswell, Andrew Phillip",Man,White,1.4,45.77,0,28.37,9.49,31.56,NA,NA,NA,NA,21.15,18.66,0,6.4
104,E14000604,Bromley and Chislehurst,31.56,1,1,England,London,Borough,Conservative,52.97281351,22.19171243,6.435800844,NA,NA,14.26269686,4.136976354,NA,30.78110108,67.29996793,23343,9779,2836,NA,NA,6285,1823,NA,44066,131,65477,NA,-0.547186493,5.621712431,-15.52419916,NA,NA,10.97269686,2.756976354,Conservative,53.52,16.57,21.96,NA,NA,3.29,1.38,2.43,31.6,67.3,23569,7295,9669,NA,NA,1451,607,1070,44037,65427,"Neill, Robert James MacGillivray",Man,White,"Courtneidge, John Lindsay",Man,White,"Webber, Sam Dunning",Man,White,"Jenner, Emmett",Man,White,NA,NA,NA,NA,NA,NA,"Robertson, Roisin Terese Shiobhan",Woman,White,17.08,86.79,15.15,44.89,2.59,2.56,NA,NA,NA,NA,0,29.93,0,1.47
105,E14000605,Bromsgrove,21.9,1,1,England,West Midlands,County,Conservative,53.84821514,22.21073787,5.00717772,NA,NA,15.62446167,3.309407599,NA,31.63747727,71.23961984,28133,11604,2616,NA,NA,8163,1729,NA,52245,173,73337,NA,10.15821514,0.42073787,-14.60282228,NA,NA,9.914461671,3.309407599,Conservative,43.69,21.79,19.61,NA,NA,5.71,0,3.72,21.9,70.6,22558,11250,10124,NA,NA,2950,NA,1923,51630,73036,"Javid, Sajid",Man,BME,"Ebbutt, Tom",Man,White,"Ricketts, Bart Lloyd",Man,White,"Cross, Stuart Charles",Man,White,NA,NA,NA,NA,NA,NA,"Esposito, Giovanni",Man,White,91.31,80.06,0.65,2.97,0,9.22,NA,NA,NA,NA,4.79,15.77,0.13,3.76
106,E14000606,Broxbourne,41.18,1,1,England,East of England,Borough,Conservative,56.05119068,18.40344168,3.187467408,NA,NA,19.71580045,2.642099774,NA,36.33539023,63.09497697,25797,8470,1467,NA,NA,9074,1216,NA,46024,125,72944,NA,-2.738809317,0.793441683,-10.19253259,NA,NA,15.57580045,2.642099774,Conservative,58.79,17.61,13.38,NA,NA,4.14,0,4.73,41.2,64,26844,8040,6107,NA,NA,1890,NA,2159,45658,71391,"Walker, Charles Ashley Rupert",Man,White,"Robinson, Edward James Culmer",Man,White,"Rowlands, Anthony",Man,White,"Platt, David",Man,White,NA,NA,NA,NA,NA,NA,"Secker, Russell Justin Robert",Man,White,9.74,56.79,0.82,1.64,0,0.07,NA,NA,NA,NA,4.65,0,1.28,1.73
107,E14000607,Broxtowe,0.74,1,1,England,East Midlands,County,Conservative,45.21519461,37.19311377,3.967065868,NA,NA,10.61751497,2.889221557,0.117889222,8.022080838,74.46630623,24163,19876,2120,NA,NA,5674,1544,NA,53440,200,71764,NA,6.175194611,-1.106886228,-12.92293413,NA,NA,8.35751497,2.089221557,Conservative,39.04,38.3,16.89,NA,NA,2.26,0.8,2.7,0.7,73.2,20585,20196,8907,NA,NA,1194,423,1422,52727,71391,"Soubry, Anna Mary",Woman,White,"Palmer, Nick",Man,White,"Heptinstall, Stan",Man,White,"Dunne, Frank",Man,White,NA,NA,NA,NA,NA,NA,"Kirwan, David",Man,White,49.61,93.06,52.14,88.95,0,14.8,NA,NA,NA,NA,1.33,7.74,1.61,6.59
109,E14000609,Burnley,-19.07,1,-1,England,North West,Borough,Labour,13.52085744,37.61636391,29.45453631,NA,NA,17.26966236,2.138579983,NA,8.161827605,61.6436869,5374,14951,11707,NA,NA,6864,850,NA,39746,150,64477,Labour gain from Liberal Democrat,-3.089142555,6.276363911,-6.225463694,NA,NA,15.04966236,2.138579983,Liberal Democrat,16.61,31.34,35.68,NA,NA,2.22,0,8.95,4.3,62.8,6950,13114,14932,NA,NA,929,NA,3747,41845,66615,"Price-Cockburn, Sarah",Woman,White,"Cooper, Julie Elizabeth",Woman,White,"Birtwistle, Gordon",Man,White,"Commis, Tom",Man,White,NA,NA,NA,NA,NA,NA,"Hargreaves, Mike",Man,White,0,24.99,69.91,94.38,28.57,88.53,NA,NA,NA,NA,0.92,14.5,0,4.23
110,E14000610,Burton,12.65,1,1,England,West Midlands,County,Conservative,49.77334912,27.53297668,2.515620533,NA,NA,17.67876833,2.499285335,NA,22.24037244,65.08345737,24376,13484,1232,NA,NA,8658,1224,NA,48974,176,75248,NA,5.243349124,-4.347023318,-13.32437947,NA,NA,14.76876833,2.499285335,Conservative,44.53,31.88,15.84,NA,NA,2.91,0,4.84,12.7,66.5,22188,15884,7891,NA,NA,1451,NA,2409,49823,74874,"Griffiths, Andrew James",Man,White,"Wheale, Jon",Man,White,"MacDonald, David John",Man,White,"Green, Mike",Man,White,NA,NA,NA,NA,NA,NA,"Patrone, Sam",Woman,White,34.74,84.09,11.1,56.68,0,4.31,NA,NA,NA,NA,8.18,3.62,0,0.16
111,E14000611,Bury North,4.99,1,1,England,North West,Borough,Conservative,41.94118948,41.10546098,2.060579262,NA,NA,12.37010834,2.52266195,NA,0.835728499,66.92808523,18970,18592,932,NA,NA,5595,1141,NA,45230,186,67580,NA,1.751189476,5.905460977,-14.93942074,NA,NA,9.520108335,2.52266195,Conservative,40.19,35.2,17,NA,NA,2.85,0,4.06,5,67.3,18070,15827,7645,NA,NA,1282,NA,1825,44961,66759,"Nuttall, David John",Man,White,"Frith, James",Man,White,"Baum, Richard Leslie",Man,White,"Henderson, Ian",Man,White,NA,NA,NA,NA,NA,NA,"Southworth, John Damien",Man,White,59.78,56.06,86.87,91.77,0.07,7.04,NA,NA,NA,NA,0,31.23,0,4.22
112,E14000612,Bury South,-6.82,1,-1,England,North West,Borough,Labour,34.62882559,45.05347877,3.579370963,NA,NA,13.34109923,3.037170391,0.360055067,10.42465318,63.90509319,16350,21272,1690,NA,NA,6299,1434,NA,47215,181,73883,NA,1.028825585,4.633478767,-14.64062904,NA,NA,11.23109923,2.017170391,Labour,33.6,40.42,18.22,NA,NA,2.11,1.02,3.61,6.8,65.6,16216,19508,8796,NA,NA,1017,493,1743,48267,73544,"Critchlow, Daniel Douglas",Man,White,"Lewis, Ivan",Man,White,"Ankers, Paul John",Man,White,"Martin, S?©amus",Man,White,NA,NA,NA,NA,NA,NA,"Heath, Glyn Harvey",Man,White,1.62,24.82,6.34,68.05,1.47,9.81,NA,NA,NA,NA,0,17.83,0,11.74
113,E14000613,Bury St Edmunds,21.08,0,0,England,East of England,County,Conservative,53.61385888,17.71793532,6.034613505,NA,NA,14.72674879,7.906843498,NA,35.89592356,69.01560792,31815,10514,3581,NA,NA,8739,4692,NA,59341,237,85982,NA,6.103858883,1.067935323,-20.3953865,NA,NA,9.616748791,3.616843498,Conservative,47.51,16.65,26.43,NA,NA,5.11,4.29,NA,21.1,69.3,27899,9776,15519,NA,NA,3003,2521,NA,58718,84716,"Churchill, Johanna",Woman,White,"Edwards, William (Bill)",Man,White,"Chappell, David Edward",Man,White,"Howlett, John",Man,White,NA,NA,NA,NA,NA,NA,"Geake, Helen Mary",Woman,White,12.22,67.83,9.44,0,0,26.63,NA,NA,NA,NA,0.26,0,1.56,0
116,E14000614,Calder Valley,12.42,1,1,England,Yorkshire and The Humber,County,Conservative,43.61890887,35.35047907,4.979361611,NA,NA,11.11297884,3.90355055,1.034721055,8.268429801,68.8594799,23354,18927,2666,NA,NA,5950,2090,NA,53541,220,77754,NA,4.228908874,8.380479072,-20.20063839,NA,NA,8.842978839,2.24355055,Conservative,39.39,26.97,25.18,NA,NA,2.27,1.66,3.52,12.4,67.3,20397,13966,13037,NA,NA,1173,858,1823,51780,76903,"Whittaker, Craig",Man,White,"Fenton-Glynn, Joshua",Man,White,"Calder McGregor, Alisdair",Man,White,"Rogan, Paul Graham",Man,White,NA,NA,NA,NA,NA,NA,"Shepherd, Jenny",Woman,White,20.81,89.82,80.15,85.84,3.53,13.34,NA,NA,NA,NA,0.37,4.37,0.05,4.37
117,E14000615,Camberwell and Peckham,-46.16,1,-1,England,London,Borough,Labour,13.16886794,63.25323403,5.003781928,NA,NA,4.679893718,10.05992902,3.834293361,50.08436609,62.31237764,6790,32614,2580,NA,NA,2413,5187,NA,51561,218,82746,NA,0.138867943,4.063234033,-17.35621807,NA,NA,4.679893718,7.139929016,Labour,13.03,59.19,22.36,NA,NA,0,2.92,NA,36.8,59.4,6080,27619,10432,NA,NA,NA,1361,NA,46659,78627,"Newstead, Naomi",Woman,White,"Harman, Harriet",Woman,White,"Kiyingi, Yahaya Dumba",Man,BME,"Kurten, David Michael",Man,BME,NA,NA,NA,NA,NA,NA,"Womack, Amelia",Woman,White,1.2,23.16,6.28,29.91,0.45,11.82,NA,NA,NA,NA,0,0,5.12,4.36
118,E14000616,Camborne and Redruth,0.16,1,1,England,South West,County,Conservative,40.22848173,24.95857679,12.39862213,NA,NA,14.77282637,5.685881224,1.955611755,15.26990494,68.51696941,18452,11448,5687,NA,NA,6776,2608,NA,45868,84,66944,NA,2.64848173,8.618576786,-25.02137787,NA,NA,9.712826371,4.315881224,Conservative,37.58,16.34,37.42,NA,NA,5.06,1.37,NA,0.2,66.4,15969,6945,15903,NA,NA,2152,581,NA,42493,63975,"Eustice, George",Man,White,"Foster, Michael",Man,White,"Goldsworthy, Julia Anne",Woman,White,"Smith, Robert",Man,White,NA,NA,NA,NA,NA,NA,"Garbett, Geoff",Man,White,84.31,86.91,98.88,98.95,38.72,83.91,NA,NA,NA,NA,2.11,22.73,1.36,10.87
119,E14000617,Cambridge,-13.55,1,-1,England,East of England,Borough,Labour,15.67775331,36.01421563,34.85726426,NA,NA,5.153165682,7.936415962,0.361185151,1.156951366,62.09104864,8117,18646,18047,NA,NA,2668,4109,NA,51774,171,83384,Labour gain from Liberal Democrat,-9.912246688,11.73421563,-4.282735736,NA,NA,2.773165682,0.346415962,Liberal Democrat,25.59,24.28,39.14,NA,NA,2.38,7.59,NA,13.6,65,12829,12174,19621,NA,NA,1195,3804,NA,50130,76731,"Fernando, Chamali",Woman,BME,"Zeichner, Daniel",Man,White,"Huppert, Julian Leon",Man,White,"O'Flynn, Patrick",Man,White,NA,NA,NA,NA,NA,NA,"Read, Rupert",Man,White,17.86,84.18,53.73,96.35,68.82,93.92,NA,NA,NA,NA,0.69,9.64,8.89,44.98
120,E14000842,North East Cambridgeshire,31.43,1,1,England,East of England,County,Conservative,55.08690614,14.43800695,4.468906914,NA,NA,22.49903438,3.507145616,NA,32.58787177,62.3930594,28524,7476,2314,NA,NA,11650,1816,NA,51780,226,82990,NA,3.686906141,-3.301993048,-15.50109309,NA,NA,16.77903438,3.507145616,Conservative,51.4,17.74,19.97,NA,NA,5.72,0,3.34,31.4,71.4,26862,9274,10437,NA,NA,2791,NA,1747,52064,73224,"Barclay, Stephen",Man,White,"Rustidge, Ken",Man,White,"Nethsingha, Lucy Kathleen",Woman,White,"Charalambous, Andrew Lambrou",Man,White,NA,NA,NA,NA,NA,NA,"Scott-Daniels, Helen Mary",Woman,White,34.75,98.93,13.75,0,0,11.12,NA,NA,NA,NA,20.02,86.42,0,4.81
121,E14000855,North West Cambridgeshire,28.62,1,1,England,East of England,County,Conservative,52.48772504,17.88379705,5.693944354,NA,NA,20.09001637,3.533551555,0.31096563,32.39770867,67.64985939,32070,10927,3479,NA,NA,12275,2159,NA,61100,180,90318,NA,1.997725041,0.933797054,-16.17605565,NA,NA,11.81001637,3.533551555,Conservative,50.49,16.95,21.87,NA,NA,8.28,0,NA,28.6,65.6,29425,9877,12748,NA,NA,4826,NA,NA,58283,88851,"Vara, Shailesh Lakhman",Man,BME,"Thulbourn, Nick",Man,BME,"Sandford, Nick",Man,White,"Reeve, Peter David",Man,White,NA,NA,NA,NA,NA,NA,"Day, Nicola",Woman,White,14.02,80.83,0,23.29,0.29,7.81,NA,NA,NA,NA,71.48,48,0.37,3.83
122,E14000934,South Cambridgeshire,13.27,0,0,England,East of England,County,Conservative,51.11147221,17.64705882,15.22261943,NA,NA,9.76600585,6.252843679,NA,33.46441339,73.14695954,31454,10860,9368,NA,NA,6010,3848,NA,61540,259,84132,NA,3.711472213,7.447058824,-18.90738057,NA,NA,6.59600585,4.492843679,Conservative,47.4,10.2,34.13,NA,NA,3.17,1.76,NA,13.3,74.8,27995,6024,20157,NA,NA,1873,1039,NA,59056,78995,"Allen, Heidi Suzanne",Woman,White,"Greef, Dan",Man,White,"Kindersley, Sebastian Gerald Molesworth",Man,White,"Mason, Marion Ann",Woman,White,NA,NA,NA,NA,NA,NA,"Saggers, Simon Peter",Man,White,9.11,47.45,0,7.6,4.68,26.89,NA,NA,NA,NA,0,5.17,0,9.71
123,E14000937,South East Cambridgeshire,10.33,0,0,England,East of England,County,Conservative,48.47410345,15.14637179,20.1794777,NA,NA,11.079555,5.120492051,NA,28.29462575,70.36301289,28845,9013,12008,NA,NA,6593,3047,NA,59506,203,84570,NA,0.504103452,7.546371794,-17.4605223,NA,NA,7.369555003,3.790492051,Conservative,47.97,7.6,37.64,NA,NA,3.71,1.33,NA,10.3,69.3,27629,4380,21683,NA,NA,2138,766,NA,57602,83068,"Frazer, Lucy",Woman,White,"Jones, Huw",Man,White,"Chatfield, Jonathan Peter",Man,White,"Rennie, Deborah",Woman,White,NA,NA,NA,NA,NA,NA,"Semmens, Clive Kenneth",Man,White,44.78,69.26,7.88,0,54.77,94.53,NA,NA,NA,NA,3.68,9.24,0.81,1.16
124,E14000618,Cannock Chase,7.01,0,0,England,West Midlands,County,Conservative,44.1856515,33.73320028,2.696447908,NA,NA,17.46109259,1.92360772,NA,10.45245122,63.19299093,20811,15888,1270,NA,NA,8224,906,NA,47099,169,74532,NA,4.0856515,0.64320028,-14.27355209,NA,NA,13.99109259,1.92360772,Conservative,40.1,33.09,16.97,NA,NA,3.47,0,4.76,7,61.1,18271,15076,7732,NA,NA,1580,NA,2168,45559,74508,"Milling, Amanda",Woman,White,"Toth, Janos",Man,White,"Jackson, Ian",Man,White,"Wiggin, Grahame",Man,White,NA,NA,NA,NA,NA,NA,"Woodhead, Paul",Man,White,83.36,93.88,92.54,94.05,0,3.86,NA,NA,NA,NA,31.42,9.59,0.72,7.97
125,E14000619,Canterbury,12.29,1,1,England,South East,County,Conservative,42.86542598,24.53941831,11.64687179,NA,NA,13.63321799,7.00645282,0.308613111,18.32600767,65.72945993,22918,13120,6227,NA,NA,7289,3746,NA,53465,182,81341,NA,-1.94457402,8.399418311,-20.87312821,NA,NA,9.753217993,4.69645282,Conservative,44.81,16.14,32.52,NA,NA,3.88,2.31,NA,12.3,64.1,22050,7940,16002,NA,NA,1907,1137,NA,49209,74121,"Brazier, Julian William Hendy",Man,White,"Lanning, Hugh",Man,White,"Flanagan, James Derrek",Man,White,"Gascoyne, Jim",Man,White,NA,NA,NA,NA,NA,NA,"Jeffery, Stuart Robert",Man,White,7.74,51.61,8.59,34.13,5.18,58.06,NA,NA,NA,NA,0.32,13.36,6.73,14.43
130,E14000620,Carlisle,2.02,1,1,England,North West,County,Conservative,44.31634067,37.80261582,2.552422101,NA,NA,12.39110527,2.641651208,0.295864935,6.513724846,64.69533778,18873,16099,1087,NA,NA,5277,1125,NA,42587,93,65827,NA,5.006340667,0.512615822,-13.0075779,NA,NA,10.09110527,1.191651208,Conservative,39.31,37.29,15.56,NA,NA,2.3,1.45,2.57,2,64.7,16589,15736,6567,NA,NA,969,614,1086,42200,65263,"Stevenson, John",Man,White,"Sherriff, Lee Barbara",Woman,White,"Birchall, Loraine",Woman,White,"Mills, Fiona Rachel",Woman,White,NA,NA,NA,NA,NA,NA,"Davison, Helen",Woman,White,68.29,80.56,78.28,61.46,0,6.33,NA,NA,NA,NA,0,1.29,0,1.36
133,E14000621,Carshalton and Wallington,-11.45,1,-1,England,London,Borough,Liberal Democrat,31.69932581,15.01690715,34.87072858,NA,NA,14.80478021,3.133597967,0.474660282,3.171402768,68.03703862,15093,7150,16603,NA,NA,7049,1492,NA,47613,131,69981,NA,-5.150674186,6.276907147,-13.42927142,NA,NA,11.86478021,2.363597967,Liberal Democrat,36.85,8.74,48.3,NA,NA,2.94,0.77,2.4,11.5,69,16920,4015,22180,NA,NA,1348,355,1100,45918,66524,"Maxwell Scott, Matthew Joseph",Man,White,"Tate, Siobhan",Woman,White,"Brake, Tom",Man,White,"Main-Ian, William",Man,White,NA,NA,NA,NA,NA,NA,"Hemingway, Ross",Man,White,23.48,79.37,2.08,14.24,75.51,97.25,NA,NA,NA,NA,3.26,33.87,0.15,2.92
134,E14000622,Castle Point,29.31,1,1,England,East of England,Borough,Conservative,50.85148515,13.8239824,1.762376238,NA,NA,31.19471947,2.367436744,NA,19.65676568,66.6715564,23112,6283,801,NA,NA,14178,1076,NA,45450,117,68170,NA,6.861485149,-0.856017602,-7.637623762,NA,NA,31.19471947,2.367436744,Conservative,43.99,14.68,9.4,NA,NA,0,0,4.9,16.9,66.9,19806,6609,4232,NA,NA,NA,NA,2205,45026,67284,"Harris, Rebecca",Woman,White,"Cooke, Joe",Man,White,"Davey, Sereena",Woman,White,"Huntman, Jamie",Man,White,NA,NA,NA,NA,NA,NA,"Ellis, Dominic",Man,White,39.05,92.54,3.11,21.56,0,7.1,NA,NA,NA,NA,63.71,94.96,0,6.29
136,E14000625,Charnwood,28.07,0,0,England,East Midlands,County,Conservative,54.31201087,21.91500354,6.898069306,NA,NA,15.93922811,NA,0.93568818,32.39700733,67.63514475,28384,11453,3605,NA,NA,8330,NA,489,52261,177,77269,NA,4.702010869,2.23500354,-14.64193069,NA,NA,12.57922811,NA,Conservative,49.61,19.68,21.54,NA,NA,3.36,0,5.82,28.1,71.9,26560,10536,11531,NA,NA,1799,NA,3116,53542,70869,"Argar, Edward John Comport",Man,White,"Kelly-Walsh, Sean Gerard",Man,White,"Sansome, Simon Robert",Man,White,"Yates, Lynton",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39.26,1.1,10.55,3.17,0,NA,NA,NA,NA,5.25,15.03,0,0
137,E14000626,Chatham and Aylesford,13.85,1,1,England,South East,County,Conservative,50.1799271,23.58554083,3.157430409,NA,NA,19.9219929,2.556125647,0.598983122,26.59438627,64.91296813,21614,10159,1360,NA,NA,8581,1101,NA,43073,166,66355,NA,3.999927101,-8.744459174,-10.15256959,NA,NA,16.9219929,1.656125647,Conservative,46.18,32.33,13.31,NA,NA,3,0.9,3.12,13.9,61.6,20230,14161,5832,NA,NA,1314,396,1365,43807,67964,"Crouch, Tracey Elizabeth Anne",Woman,White,"Osborne, Tristan John",Man,White,"Quinton, Thomas Henry Alexander",Man,White,"Wallace, Ian",Man,White,NA,NA,NA,NA,NA,NA,"Balnave, Luke Ashley",Man,White,28.51,74.57,0,94.28,0,6.13,NA,NA,NA,NA,0,22.53,0,3.44
138,E14000627,Cheadle,-6.23,1,-1,England,North West,Borough,Conservative,43.10952067,16.33487146,30.95583388,NA,NA,8.330351257,NA,1.269422733,12.15368679,72.49552834,22889,8673,16436,NA,NA,4423,NA,NA,53095,169,73239,Conservative gain from Liberal Democrat,2.26952067,6.964871457,-16.11416612,NA,NA,5.610351257,NA,Liberal Democrat,40.84,9.37,47.07,NA,NA,2.72,0,NA,6.2,72.5,21445,4920,24717,NA,NA,1430,NA,NA,52512,71635,"Robinson, Mary Josephine",Woman,White,"Miller, Martin",Man,White,"Hunter, Mark James",Man,White,"Hopkins, Shaun Vincent",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.2,92.43,0,11.82,54.4,76.68,NA,NA,NA,NA,0,14.66,0,0
139,E14000628,Chelmsford,9.36,1,1,England,East of England,Borough,Conservative,51.53018563,17.61896798,11.88100414,NA,NA,14.21855548,3.515617742,1.235669027,33.91121764,68.48689234,27732,9482,6394,NA,NA,7652,1892,NA,53817,190,78580,NA,5.360185629,6.668967984,-24.92899586,NA,NA,11.41855548,2.645617742,Conservative,46.17,10.95,36.81,NA,NA,2.8,0.87,1.65,9.4,70.4,25207,5980,20097,NA,NA,1527,476,899,54593,77525,"Burns, Simon",Man,White,"Vince, Chris",Man,White,"Robinson, Stephen",Man,White,"Gough, Mark Robert Edward",Man,White,NA,NA,NA,NA,NA,NA,"Thomson, Angela Joane",Woman,White,8.42,0,0,0,0,0,NA,NA,NA,NA,0,0,0.02,0
140,E14000629,Chelsea and Fulham,41.96,1,1,England,London,Borough,Conservative,62.94933625,23.11937553,5.198130562,NA,NA,5.068860936,3.664296724,NA,39.82996072,63.36998645,25322,9300,2091,NA,NA,2039,1474,NA,40226,133,63478,NA,2.49933625,4.629375528,-11.04186944,NA,NA,3.868860936,1.984296724,Conservative,60.45,18.49,16.24,NA,NA,1.2,1.68,0.97,42,60.1,24093,7371,6473,NA,NA,478,671,388,39856,66257,"Hands, Greg",Man,White,"Sanderson, Alexandra",Woman,White,"Bailey, Simon",Man,White,"Noble, Adrian John",Man,White,NA,NA,NA,NA,NA,NA,"Rubin, Guy",Man,White,38.51,0,0.3,23.7,0,0,NA,NA,NA,NA,0,0.05,0.04,8.03
141,E14000630,Cheltenham,-9.32,1,-1,England,South West,Borough,Conservative,46.13380478,7.261561366,34.00763004,NA,NA,7.086628827,5.004187215,0.506187773,12.12617475,69.5265698,24790,3902,18274,NA,NA,3808,2689,NA,53735,104,77287,Conservative gain from Liberal Democrat,4.953804783,2.141561366,-16.49236996,NA,NA,4.826628827,5.004187215,Liberal Democrat,41.18,5.12,50.5,NA,NA,2.26,0,NA,9.3,66.8,21739,2703,26659,NA,NA,1192,NA,NA,52786,78999,"Chalk, Alex",Man,White,"Gilbert, Paul Anthony",Man,White,"Horwood, Martin Charles",Man,White,"Simmonds, Christina Mary",Woman,White,NA,NA,NA,NA,NA,NA,"Van Coevorden, Adam Paul",Man,White,95.07,94.29,0,15.99,48.32,98.54,NA,NA,NA,NA,5.57,15.74,1.5,11.05
