pano,ons_const_id,constituency_name,Con_Margin,intermediate_step,Incumbency_Status,country,region,constituency_type,winner_17,con_17,lab_17,ld_17,snp_17,pc_17,ukip_17,green_17,other_17,majority_17,turnout_17,con_vote_17,lab_vote_17,ld_vote_17,snp_vote_17,pc_vote_17,ukip_vote_17,green_vote_17,total_vote_17,rejected_vote_17,electorate_17,seat_change_1517,con_1517,lab_1517,ld_1517,snp_1517,pc_1517,ukip_1517,green_1517,winner_15,con_15,lab_15,ld_15,snp_15,pc_15,ukip_15,green_15,other_15,majority_15,turnout_15,con_vote_15,lab_vote_15,ld_vote_15,snp_vote_15,pc_vote_15,ukip_vote_15,green_vote_15,bnp_vote_15,total_vote_15,rejected_vote_15,electorate_15,seat_change_1015,con_1015,lab_1015,ld_1015,snp_1015,pc_1015,ukip_1015,green_1015,winner_10,con_10,lab_10,ld_10,snp_10,pc_10,ukip_10,green_10,bnp_10,majority_10,turn_10,con_vote_10,lab_vote_10,ld_vote_10,snp_vote_10,pc_vote_10,ukip_vote_10,green_vote_10,bnp_vote_10,total_vote_10,electorate_10,leave_hanretty,remain_hanretty,con_ppc_17,con_ppc_sex_17,lab_ppc_17,lab_ppc_sex_17,ld_ppc_17,ld_ppc_sex_17,snp_ppc_17,snp_ppc_sex_17,pc_ppc_17,pc_ppc_sex_17,ukip_ppc_17,ukip_ppc_sex_17,green_ppc_17,green_ppc_sex_17,con_ppc_15,con_ppc_sex_15,con_ppc_race_15,lab_ppc_15,lab_ppc_sex_15,lab_ppc_race_15,ld_ppc_15,ld_ppc_sex_15,ld_ppc_race_15,snp_ppc_15,snp_ppc_sex_15,snp_ppc_race_15,pc_ppc_15,pc_ppc_sex_15,pc_ppc_race_15,ukip_ppc_15,ukip_ppc_sex_15,ukip_ppc_race_15,green_ppc_15,green_ppc_sex_15,green_ppc_race_15
105,E14000605,Bromsgrove,31.63747727,1,1,England,West Midlands,County,Conservative,61.97816432,31.31014064,4.603997039,NA,NA,NA,2.107698001,NA,30.66802369,73.45285507,33493,16920,2488,NA,NA,NA,1139,54040,206,73571,NA,8.129949183,9.099402767,-0.403180681,NA,NA,-15.62446167,-1.201709597,Conservative,53.84821514,22.21073787,5.00717772,NA,NA,15.62446167,3.309407599,NA,31.63747727,71.23961984,28133,11604,2616,NA,NA,8163,1729,NA,52245,173,73337,NA,10.15821514,0.42073787,-14.60282228,NA,NA,9.914461671,3.309407599,Conservative,43.69,21.79,19.61,NA,NA,5.71,NA,3.72,21.9,70.6,22558,11250,10124,NA,NA,2950,NA,1923,51630,73036,55.36512794,44.63487206,"Javid, Sajid",Man,"Thompson, Michael",Man,"Lewis, Christopher",Man,NA,NA,NA,NA,NA,NA,"Esposito, Giovanni",Man,"Javid, Sajid",Man,BME,"Ebbutt, Tom",Man,White,"Ricketts, Bart Lloyd",Man,White,NA,NA,NA,NA,NA,NA,"Cross, Stuart Charles",Man,White,"Esposito, Giovanni",Man,White
106,E14000606,Broxbourne,36.33539023,1,1,England,East of England,Borough,Conservative,62.15647046,28.89965252,3.118879646,NA,NA,4.039170264,1.785827103,1.42109E-14,33.25681794,64.60368425,29515,13723,1481,NA,NA,1918,848,47485,102,73502,NA,6.105279781,10.49621084,-0.068587762,NA,NA,-15.67663019,-0.856272671,Conservative,56.05119068,18.40344168,3.187467408,NA,NA,19.71580045,2.642099774,NA,36.33539023,63.09497697,25797,8470,1467,NA,NA,9074,1216,NA,46024,125,72944,NA,-2.738809317,0.793441683,-10.19253259,NA,NA,15.57580045,2.642099774,Conservative,58.79,17.61,13.38,NA,NA,4.14,NA,4.73,41.2,64,26844,8040,6107,NA,NA,1890,NA,2159,45658,71391,65.53477318,34.46522682,"Walker, Charles",Man,"Norgrove, Selina",Woman,"Graham, Andy",Man,NA,NA,NA,NA,"Faulkner, Tony",Man,"Evans, Tabitha",Woman,"Walker, Charles Ashley Rupert",Man,White,"Robinson, Edward James Culmer",Man,White,"Rowlands, Anthony",Man,White,NA,NA,NA,NA,NA,NA,"Platt, David",Man,White,"Secker, Russell Justin Robert",Man,White
107,E14000607,Broxtowe,8.022080838,1,1,England,East Midlands,County,Conservative,46.80946891,45.25473806,4.048065144,NA,NA,2.660877711,1.226850184,-1.42109E-14,1.55473085,74.99763555,25983,25120,2247,NA,NA,1477,681,55508,120,74013,NA,1.594274295,8.061624283,0.080999275,NA,NA,-7.956637259,-1.662371373,Conservative,45.21519461,37.19311377,3.967065868,NA,NA,10.61751497,2.889221557,0.117889222,8.022080838,74.46630623,24163,19876,2120,NA,NA,5674,1544,NA,53440,200,71764,NA,6.175194611,-1.106886228,-12.92293413,NA,NA,8.35751497,2.089221557,Conservative,39.04,38.3,16.89,NA,NA,2.26,0.8,2.7,0.7,73.2,20585,20196,8907,NA,NA,1194,423,1422,52727,71391,52.5137019,47.4862981,"Soubry, Anna",Woman,"Marshall, Greg",Man,"Hallam, Tim",Man,NA,NA,NA,NA,"Loi, Fran",Man,"Morton, Pat",Woman,"Soubry, Anna Mary",Woman,White,"Palmer, Nick",Man,White,"Heptinstall, Stan",Man,White,NA,NA,NA,NA,NA,NA,"Dunne, Frank",Man,White,"Kirwan, David",Man,White
109,E14000609,Burnley,-24.09550647,1,-1,England,North West,Borough,Labour,30.97294614,46.74112683,15.00620501,NA,NA,6.135517498,1.144204517,NA,15.76818069,62.26336367,12479,18832,6046,NA,NA,2472,461,40290,63,64709,NA,17.4520887,9.12476292,-14.44833129,NA,NA,-11.13414486,-0.994375466,Labour,13.52085744,37.61636391,29.45453631,NA,NA,17.26966236,2.138579983,NA,8.161827605,61.6436869,5374,14951,11707,NA,NA,6864,850,NA,39746,150,64477,Labour gain from Liberal Democrat,-3.089142555,6.276363911,-6.225463694,NA,NA,15.04966236,2.138579983,Liberal Democrat,16.61,31.34,35.68,NA,NA,2.22,NA,8.95,4.3,62.8,6950,13114,14932,NA,NA,929,NA,3747,41845,66615,66.61279897,33.38720103,"White, Paul",Man,"Cooper, Julie",Woman,"Birtwistle, Gordon",Man,NA,NA,NA,NA,"Commis, Tom",Man,"Fisk, Laura",Woman,"Price-Cockburn, Sarah",Woman,White,"Cooper, Julie Elizabeth",Woman,White,"Birtwistle, Gordon",Man,White,NA,NA,NA,NA,NA,NA,"Commis, Tom",Man,White,"Hargreaves, Mike",Man,White
110,E14000610,Burton,22.24037244,1,1,England,West Midlands,County,Conservative,57.97519585,37.84536475,2.528500731,NA,NA,NA,1.650938671,NA,20.1298311,67.48925007,28936,18889,1262,NA,NA,NA,824,49911,143,73954,NA,8.201846725,10.31238807,0.012880198,NA,NA,-17.67876833,-0.848346664,Conservative,49.77334912,27.53297668,2.515620533,NA,NA,17.67876833,2.499285335,NA,22.24037244,65.08345737,24376,13484,1232,NA,NA,8658,1224,NA,48974,176,75248,NA,5.243349124,-4.347023318,-13.32437947,NA,NA,14.76876833,2.499285335,Conservative,44.53,31.88,15.84,NA,NA,2.91,NA,4.84,12.7,66.5,22188,15884,7891,NA,NA,1451,NA,2409,49823,74874,64.79315748,35.20684252,"Griffiths, Andrew",Man,"McKiernan, John",Man,"Hardwick, Dominic",Man,NA,NA,NA,NA,NA,NA,"Hales, Simon",Man,"Griffiths, Andrew James",Man,White,"Wheale, Jon",Man,White,"MacDonald, David John",Man,White,NA,NA,NA,NA,NA,NA,"Green, Mike",Man,White,"Patrone, Sam",Woman,White
111,E14000611,Bury North,0.835728499,1,1,England,North West,Borough,Labour,44.48155648,53.61459616,1.903847358,NA,NA,NA,NA,NA,9.133039684,70.88339745,21308,25683,912,NA,NA,NA,NA,47903,156,67580,Labour gain from Conservative,2.540367003,12.50913519,-0.156731903,NA,NA,-12.37010834,-2.52266195,Conservative,41.94118948,41.10546098,2.060579262,NA,NA,12.37010834,2.52266195,NA,0.835728499,66.92808523,18970,18592,932,NA,NA,5595,1141,NA,45230,186,67580,NA,1.751189476,5.905460977,-14.93942074,NA,NA,9.520108335,2.52266195,Conservative,40.19,35.2,17,NA,NA,2.85,NA,4.06,5,67.3,18070,15827,7645,NA,NA,1282,NA,1825,44961,66759,53.66703124,46.33296876,"Nuttall, David",Man,"Frith, James",Man,"Baum, Richard",Man,NA,NA,NA,NA,NA,NA,NA,NA,"Nuttall, David John",Man,White,"Frith, James",Man,White,"Baum, Richard Leslie",Man,White,NA,NA,NA,NA,NA,NA,"Henderson, Ian",Man,White,"Southworth, John Damien",Man,White
112,E14000612,Bury South,-10.42465318,0,0,England,North West,Borough,Labour,41.57677976,53.27515199,2.088644832,NA,NA,2.580898215,NA,0.478525201,11.69837223,69.17181035,21200,27165,1065,NA,NA,1316,NA,50990,123,73715,NA,6.947954176,8.221673223,-1.49072613,NA,NA,-10.76020101,-3.037170391,Labour,34.62882559,45.05347877,3.579370963,NA,NA,13.34109923,3.037170391,0.360055067,10.42465318,63.90509319,16350,21272,1690,NA,NA,6299,1434,NA,47215,181,73883,NA,1.028825585,4.633478767,-14.64062904,NA,NA,11.23109923,2.017170391,Labour,33.6,40.42,18.22,NA,NA,2.11,1.02,3.61,6.8,65.6,16216,19508,8796,NA,NA,1017,493,1743,48267,73544,54.51175263,45.48824737,"Largan, Robert",Man,"Lewis, Ivan",Man,"Page, Andrew",Man,NA,NA,NA,NA,"Henderson, Ian",Man,NA,NA,"Critchlow, Daniel Douglas",Man,White,"Lewis, Ivan",Man,White,"Ankers, Paul John",Man,White,NA,NA,NA,NA,NA,NA,"Martin, S?®amus",Man,White,"Heath, Glyn Harvey",Man,White
113,E14000613,Bury St Edmunds,35.89592356,1,1,England,East of England,County,Conservative,59.19240669,29.52541828,5.735199485,NA,NA,NA,4.176319176,1.370656371,29.66698842,72.21944674,36794,18353,3565,NA,NA,NA,2596,62160,152,86071,NA,5.578547809,11.80748295,-0.29941402,NA,NA,-14.72674879,-3.730524321,Conservative,53.61385888,17.71793532,6.034613505,NA,NA,14.72674879,7.906843498,NA,35.89592356,69.01560792,31815,10514,3581,NA,NA,8739,4692,NA,59341,237,85982,NA,6.103858883,1.067935323,-20.3953865,NA,NA,9.616748791,3.616843498,Conservative,47.51,16.65,26.43,NA,NA,5.11,4.29,NA,21.1,69.3,27899,9776,15519,NA,NA,3003,2521,NA,58718,84716,53.99247144,46.00752856,"Churchill, Jo",Woman,"Edwards, Bill",Man,"Korfanty, Helen",Woman,NA,NA,NA,NA,NA,NA,"Geake, Helen",Woman,"Churchill, Johanna",Woman,White,"Edwards, William (Bill)",Man,White,"Chappell, David Edward",Man,White,NA,NA,NA,NA,NA,NA,"Howlett, John",Man,White,"Geake, Helen Mary",Woman,White
116,E14000614,Calder Valley,8.268429801,1,1,England,Yorkshire and The Humber,County,Conservative,46.14669101,45.09766769,3.362386743,NA,NA,2.525235126,1.086919075,1.781100355,1.049023323,73.44424062,26790,26181,1952,NA,NA,1466,631,58054,115,79045,NA,2.527782138,9.747188617,-1.616974867,NA,NA,-8.587743713,-2.816631475,Conservative,43.61890887,35.35047907,4.979361611,NA,NA,11.11297884,3.90355055,1.034721055,8.268429801,68.8594799,23354,18927,2666,NA,NA,5950,2090,NA,53541,220,77754,NA,4.228908874,8.380479072,-20.20063839,NA,NA,8.842978839,2.24355055,Conservative,39.39,26.97,25.18,NA,NA,2.27,1.66,3.52,12.4,67.3,20397,13966,13037,NA,NA,1173,858,1823,51780,76903,53.16421306,46.83578694,"Whittaker, Craig",Man,"Fenton-Glynn, Josh",Man,"Battye, Janet",Woman,NA,NA,NA,NA,"Rogan, Paul",Man,"Turner, Kieran",Man,"Whittaker, Craig",Man,White,"Fenton-Glynn, Joshua",Man,White,"Calder McGregor, Alisdair",Man,White,NA,NA,NA,NA,NA,NA,"Rogan, Paul Graham",Man,White,"Shepherd, Jenny",Woman,White
117,E14000615,Camberwell and Peckham,-50.08436609,1,-1,England,London,Borough,Labour,12.80045983,77.7973246,5.944750226,NA,NA,NA,2.83390232,0.623563018,64.99686477,67.05990913,7349,44665,3413,NA,NA,NA,1627,57412,236,85613,NA,-0.368408109,14.54409057,0.940968298,NA,NA,-4.679893718,-7.226026696,Labour,13.16886794,63.25323403,5.003781928,NA,NA,4.679893718,10.05992902,3.834293361,50.08436609,62.31237764,6790,32614,2580,NA,NA,2413,5187,NA,51561,218,82746,NA,0.138867943,4.063234033,-17.35621807,NA,NA,4.679893718,7.139929016,Labour,13.03,59.19,22.36,NA,NA,NA,2.92,NA,36.8,59.4,6080,27619,10432,NA,NA,NA,1361,NA,46659,78627,31.48177032,68.51822968,"Spencer, Ben",Man,"Harman, Harriet",Woman,"Bukola, Michael",Man,NA,NA,NA,NA,NA,NA,"Margolies, Eleanor",Woman,"Newstead, Naomi",Woman,White,"Harman, Harriet",Woman,White,"Kiyingi, Yahaya Dumba",Man,BME,NA,NA,NA,NA,NA,NA,"Kurten, David Michael",Man,BME,"Womack, Amelia",Woman,White
118,E14000616,Camborne and Redruth,15.26990494,1,1,England,South West,County,Conservative,47.46780584,44.21330692,6.147845468,NA,NA,NA,2.17104177,NA,3.254498927,70.82243237,23001,21424,2979,NA,NA,NA,1052,48456,93,68419,NA,7.239324114,19.25473013,-6.250776665,NA,NA,-14.77282637,-3.514839455,Conservative,40.22848173,24.95857679,12.39862213,NA,NA,14.77282637,5.685881224,1.955611755,15.26990494,68.51696941,18452,11448,5687,NA,NA,6776,2608,NA,45868,84,66944,NA,2.64848173,8.618576786,-25.02137787,NA,NA,9.712826371,4.315881224,Conservative,37.58,16.34,37.42,NA,NA,5.06,1.37,NA,0.2,66.4,15969,6945,15903,NA,NA,2152,581,NA,42493,63975,58.41285279,41.58714721,"Eustice, George",Man,"Winter, Graham",Man,"Williams, Geoff",Man,NA,NA,NA,NA,NA,NA,"Garbett, Geoff",Man,"Eustice, George",Man,White,"Foster, Michael",Man,White,"Goldsworthy, Julia Anne",Woman,White,NA,NA,NA,NA,NA,NA,"Smith, Robert",Man,White,"Garbett, Geoff",Man,White
119,E14000617,Cambridge,-20.33646232,1,-1,England,East of England,Borough,Labour,16.32817249,51.90402975,29.2684235,NA,NA,NA,2.261594022,0.237780241,22.63560625,71.21358729,9133,29032,16371,NA,NA,NA,1265,55934,135,78544,NA,0.650419177,15.88981412,-5.588840765,NA,NA,-5.153165682,-5.67482194,Labour,15.67775331,36.01421563,34.85726426,NA,NA,5.153165682,7.936415962,0.361185151,1.156951366,62.09104864,8117,18646,18047,NA,NA,2668,4109,NA,51774,171,83384,Labour gain from Liberal Democrat,-9.912246688,11.73421563,-4.282735736,NA,NA,2.773165682,0.346415962,Liberal Democrat,25.59,24.28,39.14,NA,NA,2.38,7.59,NA,13.6,65,12829,12174,19621,NA,NA,1195,3804,NA,50130,76731,26.2252731,73.7747269,"Hayward, John",Man,"Zeichner, Daniel",Man,"Huppert, Julian",Man,NA,NA,NA,NA,NA,NA,"Tuckwood, Stuart",Man,"Fernando, Chamali",Woman,BME,"Zeichner, Daniel",Man,White,"Huppert, Julian Leon",Man,White,NA,NA,NA,NA,NA,NA,"O'Flynn, Patrick",Man,White,"Read, Rupert",Man,White
120,E14000842,North East Cambridgeshire,32.58787177,1,1,England,East of England,County,Conservative,64.44711358,24.52893927,4.472261842,NA,NA,4.080024022,1.921777644,0.549883642,39.91817431,63.12223091,34340,13070,2383,NA,NA,2174,1024,53284,81,84414,NA,9.360207439,10.09093232,0.003354928,NA,NA,-18.41901035,-1.585367972,Conservative,55.08690614,14.43800695,4.468906914,NA,NA,22.49903438,3.507145616,NA,32.58787177,62.3930594,28524,7476,2314,NA,NA,11650,1816,NA,51780,226,82990,NA,3.686906141,-3.301993048,-15.50109309,NA,NA,16.77903438,3.507145616,Conservative,51.4,17.74,19.97,NA,NA,5.72,NA,3.34,31.4,71.4,26862,9274,10437,NA,NA,2791,NA,1747,52064,73224,69.3543227,30.6456773,"Barclay, Stephen",Man,"Rustidge, Ken",Man,"Fower, Darren",Man,NA,NA,NA,NA,"Talbot, Robin",Man,"Johnson, Ruth",Woman,"Barclay, Stephen",Man,White,"Rustidge, Ken",Man,White,"Nethsingha, Lucy Kathleen",Woman,White,NA,NA,NA,NA,NA,NA,"Charalambous, Andrew Lambrou",Man,White,"Scott-Daniels, Helen Mary",Woman,White
121,E14000855,North West Cambridgeshire,32.39770867,1,1,England,East of England,County,Conservative,58.64730978,30.50585239,4.950696192,NA,NA,3.934928349,1.961213296,NA,28.14145739,68.64440416,37529,19521,3168,NA,NA,2518,1255,63991,132,93221,NA,6.159584737,12.62205533,-0.743248162,NA,NA,-16.15508802,-1.572338259,Conservative,52.48772504,17.88379705,5.693944354,NA,NA,20.09001637,3.533551555,0.31096563,32.39770867,67.64985939,32070,10927,3479,NA,NA,12275,2159,NA,61100,180,90318,NA,1.997725041,0.933797054,-16.17605565,NA,NA,11.81001637,3.533551555,Conservative,50.49,16.95,21.87,NA,NA,8.28,NA,NA,28.6,65.6,29425,9877,12748,NA,NA,4826,NA,NA,58283,88851,56.93409702,43.06590298,"Vara, Shailesh",Man,"Ramsbottom, Iain",Man,"Smith, Bridget",Woman,NA,NA,NA,NA,"Whitby, John",Man,"Guthrie, Greg",Man,"Vara, Shailesh Lakhman",Man,BME,"Thulbourn, Nick",Man,BME,"Sandford, Nick",Man,White,NA,NA,NA,NA,NA,NA,"Reeve, Peter David",Man,White,"Day, Nicola",Woman,White
122,E14000934,South Cambridgeshire,33.46441339,1,1,England,East of England,County,Conservative,51.80056682,27.23030004,18.6402563,NA,NA,NA,2.328876841,NA,24.57026677,76.15093189,33631,17679,12102,NA,NA,NA,1512,64924,166,85257,NA,0.689094603,9.58324122,3.417636865,NA,NA,-9.76600585,-3.923966838,Conservative,51.11147221,17.64705882,15.22261943,NA,NA,9.76600585,6.252843679,NA,33.46441339,73.14695954,31454,10860,9368,NA,NA,6010,3848,NA,61540,259,84132,NA,3.711472213,7.447058824,-18.90738057,NA,NA,6.59600585,4.492843679,Conservative,47.4,10.2,34.13,NA,NA,3.17,1.76,NA,13.3,74.8,27995,6024,20157,NA,NA,1873,1039,NA,59056,78995,38.4889637,61.5110363,"Allen, Heidi",Woman,"Greef, Dan",Man,"van de Ven, Susan",Woman,NA,NA,NA,NA,NA,NA,"Saggers, Simon",Man,"Allen, Heidi Suzanne",Woman,White,"Greef, Dan",Man,White,"Kindersley, Sebastian Gerald Molesworth",Man,White,NA,NA,NA,NA,NA,NA,"Mason, Marion Ann",Woman,White,"Saggers, Simon Peter",Man,White
123,E14000937,South East Cambridgeshire,28.29462575,1,1,England,East of England,County,Conservative,53.33322752,27.68642265,18.98034983,NA,NA,NA,NA,NA,25.64680486,73.15521185,33601,17443,11958,NA,NA,NA,NA,63002,226,86121,NA,4.859124065,12.54005086,-1.19912787,NA,NA,-11.079555,-5.120492051,Conservative,48.47410345,15.14637179,20.1794777,NA,NA,11.079555,5.120492051,NA,28.29462575,70.36301289,28845,9013,12008,NA,NA,6593,3047,NA,59506,203,84570,NA,0.504103452,7.546371794,-17.4605223,NA,NA,7.369555003,3.790492051,Conservative,47.97,7.6,37.64,NA,NA,3.71,1.33,NA,10.3,69.3,27629,4380,21683,NA,NA,2138,766,NA,57602,83068,45.30481876,54.69518124,"Frazer, Lucy",Woman,"Jones, Huw",Man,"Nethsingha, Lucy",Woman,NA,NA,NA,NA,NA,NA,NA,NA,"Frazer, Lucy",Woman,White,"Jones, Huw",Man,White,"Chatfield, Jonathan Peter",Man,White,NA,NA,NA,NA,NA,NA,"Rennie, Deborah",Woman,White,"Semmens, Clive Kenneth",Man,White
124,E14000618,Cannock Chase,10.45245122,1,1,England,West Midlands,County,Conservative,54.97576872,37.44777741,1.658589572,NA,NA,4.215407754,1.702456551,NA,17.52799131,64.22323585,26318,17927,794,NA,NA,2018,815,47872,78,74540,NA,10.79011722,3.714577126,-1.037858335,NA,NA,-13.24568484,-0.221151169,Conservative,44.1856515,33.73320028,2.696447908,NA,NA,17.46109259,1.92360772,NA,10.45245122,63.19299093,20811,15888,1270,NA,NA,8224,906,NA,47099,169,74532,NA,4.0856515,0.64320028,-14.27355209,NA,NA,13.99109259,1.92360772,Conservative,40.1,33.09,16.97,NA,NA,3.47,NA,4.76,7,61.1,18271,15076,7732,NA,NA,1580,NA,2168,45559,74508,68.86035313,31.13964687,"Milling, Amanda",Woman,"Dadge, Paul",Man,"Green, Nat",Man,NA,NA,NA,NA,"Allen, Paul",Man,"Woodhead, Paul",Man,"Milling, Amanda",Woman,White,"Toth, Janos",Man,White,"Jackson, Ian",Man,White,NA,NA,NA,NA,NA,NA,"Wiggin, Grahame",Man,White,"Woodhead, Paul",Man,White
125,E14000619,Canterbury,18.32600767,1,1,England,South East,County,Labour,44.69190141,45.02112676,8.029929577,NA,NA,NA,2.257042254,1.42109E-14,0.329225352,72.65099383,25385,25572,4561,NA,NA,NA,1282,56800,178,78182,Labour gain from Conservative,1.826475429,20.48170845,-3.616942208,NA,NA,-13.63321799,-4.749410566,Conservative,42.86542598,24.53941831,11.64687179,NA,NA,13.63321799,7.00645282,0.308613111,18.32600767,65.72945993,22918,13120,6227,NA,NA,7289,3746,NA,53465,182,81341,NA,-1.94457402,8.399418311,-20.87312821,NA,NA,9.753217993,4.69645282,Conservative,44.81,16.14,32.52,NA,NA,3.88,2.31,NA,12.3,64.1,22050,7940,16002,NA,NA,1907,1137,NA,49209,74121,45.32740482,54.67259518,"Brazier, Julian",Man,"Duffield, Rosie",Woman,"Flanagan, James",Man,NA,NA,NA,NA,NA,NA,"Stanton, Henry",Man,"Brazier, Julian William Hendy",Man,White,"Lanning, Hugh",Man,White,"Flanagan, James Derrek",Man,White,NA,NA,NA,NA,NA,NA,"Gascoyne, Jim",Man,White,"Jeffery, Stuart Robert",Man,White
130,E14000620,Carlisle,6.513724846,1,1,England,North West,County,Conservative,49.86993683,43.83361204,2.917131178,NA,NA,3.379319955,NA,NA,6.036324786,69.11741099,21472,18873,1256,NA,NA,1455,NA,43056,88,62294,NA,5.553596159,6.030996218,0.364709077,NA,NA,-9.011785311,-2.641651208,Conservative,44.31634067,37.80261582,2.552422101,NA,NA,12.39110527,2.641651208,0.295864935,6.513724846,64.69533778,18873,16099,1087,NA,NA,5277,1125,NA,42587,93,65827,NA,5.006340667,0.512615822,-13.0075779,NA,NA,10.09110527,1.191651208,Conservative,39.31,37.29,15.56,NA,NA,2.3,1.45,2.57,2,64.7,16589,15736,6567,NA,NA,969,614,1086,42200,65263,60.6437746,39.3562254,"Stevenson, John",Man,"Alcroft, Ruth",Woman,"Thornton, Peter",Man,NA,NA,NA,NA,"Mills, Fiona",Woman,NA,NA,"Stevenson, John",Man,White,"Sherriff, Lee Barbara",Woman,White,"Birchall, Loraine",Woman,White,NA,NA,NA,NA,NA,NA,"Mills, Fiona Rachel",Woman,White,"Davison, Helen",Woman,White
133,E14000621,Carshalton and Wallington,-3.171402768,1,-1,England,London,Borough,Liberal Democrat,38.32285776,18.44225957,41.02023526,NA,NA,NA,0.987133765,1.227513645,2.697377495,71.63545004,19450,9360,20819,NA,NA,NA,501,50753,97,70849,NA,6.623531948,3.425352424,6.149506674,NA,NA,-14.80478021,-2.146464201,Liberal Democrat,31.69932581,15.01690715,34.87072858,NA,NA,14.80478021,3.133597967,0.474660282,3.171402768,68.03703862,15093,7150,16603,NA,NA,7049,1492,NA,47613,131,69981,NA,-5.150674186,6.276907147,-13.42927142,NA,NA,11.86478021,2.363597967,Liberal Democrat,36.85,8.74,48.3,NA,NA,2.94,0.77,2.4,11.5,69,16920,4015,22180,NA,NA,1348,355,1100,45918,66524,56.26121404,43.73878596,"Maxwell Scott, Matthew",Man,"Ibrahim, Emina",Woman,"Brake, Tom",Man,NA,NA,NA,NA,NA,NA,"Khan, Shasha",Man,"Maxwell Scott, Matthew Joseph",Man,White,"Tate, Siobhan",Woman,White,"Brake, Tom",Man,White,NA,NA,NA,NA,NA,NA,"Main-Ian, William",Man,White,"Hemingway, Ross",Man,White
134,E14000622,Castle Point,19.65676568,1,1,England,East of England,Borough,Conservative,67.26906732,25.05927086,2.346231268,NA,NA,5.325430552,NA,-1.42109E-14,42.20979647,64.35871599,30076,11204,1049,NA,NA,2381,NA,44710,87,69470,NA,16.41758217,11.23528846,0.583855031,NA,NA,-25.86928892,-2.367436744,Conservative,50.85148515,13.8239824,1.762376238,NA,NA,31.19471947,2.367436744,NA,19.65676568,66.6715564,23112,6283,801,NA,NA,14178,1076,NA,45450,117,68170,NA,6.861485149,-0.856017602,-7.637623762,NA,NA,31.19471947,2.367436744,Conservative,43.99,14.68,9.4,NA,NA,NA,NA,4.9,16.9,66.9,19806,6609,4232,NA,NA,NA,NA,2205,45026,67284,72.69939242,27.30060758,"Harris, Rebecca",Woman,"Cooke, Joe",Man,"Holder, Tom",Man,NA,NA,NA,NA,"Kurten, David",Man,NA,NA,"Harris, Rebecca",Woman,White,"Cooke, Joe",Man,White,"Davey, Sereena",Woman,White,NA,NA,NA,NA,NA,NA,"Huntman, Jamie",Man,White,"Ellis, Dominic",Man,White
136,E14000625,Charnwood,32.39700733,1,1,England,East Midlands,County,Conservative,60.38494998,30.76881253,3.719008264,NA,NA,2.666014209,1.877627954,0.583587067,29.61613745,70.67412996,33318,16977,2052,NA,NA,1471,1036,55176,115,78071,NA,6.07293911,8.853808987,-3.179061042,NA,NA,-13.2732139,NA,Conservative,54.31201087,21.91500354,6.898069306,NA,NA,15.93922811,0,0.93568818,32.39700733,67.63514475,28384,11453,3605,NA,NA,8330,NA,489,52261,177,77269,NA,4.702010869,2.23500354,-14.64193069,NA,NA,12.57922811,NA,Conservative,49.61,19.68,21.54,NA,NA,3.36,NA,5.82,28.1,71.9,26560,10536,11531,NA,NA,1799,NA,3116,53542,70869,57.8746718,42.1253282,"Argar, Edward",Man,"Kelly-Walsh, Sean",Man,"Sansome, Simon",Man,NA,NA,NA,NA,"Connor, Victoria",Woman,"Cox, Nicholas",Man,"Argar, Edward John Comport",Man,White,"Kelly-Walsh, Sean Gerard",Man,White,"Sansome, Simon Robert",Man,White,NA,NA,NA,NA,NA,NA,"Yates, Lynton",Man,White,NA,NA,NA
137,E14000626,Chatham and Aylesford,26.59438627,1,1,England,South East,County,Conservative,56.9993317,33.7023836,2.486077077,NA,NA,4.956560481,1.276453553,0.579193584,23.2969481,63.7470001,25587,15129,1116,NA,NA,2225,573,44890,73,70419,NA,6.819404599,10.11684278,-0.671353332,NA,NA,-14.96543241,-1.279672094,Conservative,50.1799271,23.58554083,3.157430409,NA,NA,19.9219929,2.556125647,0.598983122,26.59438627,64.91296813,21614,10159,1360,NA,NA,8581,1101,NA,43073,166,66355,NA,3.999927101,-8.744459174,-10.15256959,NA,NA,16.9219929,1.656125647,Conservative,46.18,32.33,13.31,NA,NA,3,0.9,3.12,13.9,61.6,20230,14161,5832,NA,NA,1314,396,1365,43807,67964,63.90539181,36.09460819,"Crouch, Tracey",Woman,"Maple, Vince",Man,"Quinton, Thomas",Man,NA,NA,NA,NA,"Bushill, Nicole",Woman,"Hyde, Bernard",Man,"Crouch, Tracey Elizabeth Anne",Woman,White,"Osborne, Tristan John",Man,White,"Quinton, Thomas Henry Alexander",Man,White,NA,NA,NA,NA,NA,NA,"Wallace, Ian",Man,White,"Balnave, Luke Ashley",Man,White
